Title,Authors,DOI,DOI link,Venue,Citation count,Year,Study Design,"Reasoning for ""Study Design""",Animal Population and Model Induction,"Reasoning for ""Animal Population and Model Induction""","Experimental Interventions ","Reasoning for ""Experimental Interventions """,Outcomes (Primary and Secondary),"Reasoning for ""Outcomes (Primary and Secondary)""",Control Interventions,"Reasoning for ""Control Interventions""",Primary Research Type,"Reasoning for ""Primary Research Type""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
Reassessment of amphetamine- and phencyclidine-induced locomotor hyperactivity as a model of psychosis-like behavior in rats.,"S. Kusljic, M. van den Buuse, A. Gogos",10.31083/j.jin2101017,https://doi.org/10.31083/j.jin2101017,Journal of Integrative Neuroscience,4,2022,yes,"The study includes in vivo controlled experiments with rats, comparing different treatment groups, which meets the requirement for in vivo controlled experiments.",yes,"The study uses laboratory rats with induced psychosis-like features through administration of psychostimulants (amphetamine and phencyclidine), which meets the requirement for animal models of psychosis.",no,"The study does not investigate TAAR1 agonists, but instead focuses on antagonists (haloperidol, prazosin, and ritanserin) targeting different monoamine pathways, which fails to meet the requirement for investigating TAAR1 agonists.",maybe,"The study includes locomotor activity as a primary outcome measure, which is one of the co-primary outcomes specified in the criteria. However, it does not appear to measure PPI of the acoustic startle reflex.",yes,"The study includes appropriate control conditions, with vehicle controls and comparison groups, which meets the requirement for control interventions.",yes,"This is an original experimental study using animal models, which meets the requirement for primary research type.",Exclude,"The study involves an in vivo experimental design using rats with induced psychosis-like features, examining locomotor activity and neurotransmitter interactions. However, the research does not investigate TAAR1 agonists, which is a critical screening requirement, rendering the study unsuitable for inclusion in the systematic review. Despite meeting several other methodological criteria, the fundamental absence of TAAR1 agonist investigation disqualifies the paper.",1.4
Psychotropic Idiosyncratic Drug Reactions: A Brief Review of Proposed Mechanisms,"Thakur Tanu, A. Andres, Leontieva Luba, M. James",10.33425/2641-4317.1024,https://doi.org/10.33425/2641-4317.1024,International Journal of Psychiatry Research,1,2019,no,"The paper is a literature review, not an in vivo controlled experiment, as stated in the methods section which describes a literature search of PubMed and Cochrane databases.",no,The abstract does not mention any animal models or psychosis induction methods. The focus is on idiosyncratic drug reactions in general human populations.,no,"While the paper discusses psychotropic medications, it does not specifically investigate TAAR1 agonists. The medications mentioned (fluphenazine, chlorpromazine, escitalopram, etc.) are not described as TAAR1 agonists.",no,The outcomes discussed (drug-induced liver injury and agranulocytosis) do not match the required primary outcomes of locomotor activity and prepulse inhibition.,no,The paper does not describe any control groups or experimental conditions as it is a review paper.,no,"The paper is explicitly a review article (""A Brief Review of Proposed Mechanisms"" in the title), not an original experimental study.",Exclude,"This literature review on idiosyncratic drug reactions fails to meet multiple critical screening criteria, including the requirement for an in vivo controlled experimental design with animal models of psychosis. The paper does not investigate TAAR1 agonists, lacks the specified primary and secondary outcomes, and is not an original experimental study as required by the screening protocol.",0.1
Pitfalls of NMDA Receptor Modulation by Neuroactive Steroids. The Effect of Positive and Negative Modulation of NMDA Receptors in an Animal Model of Schizophrenia,"K. Holubova, M. Chvojkova, B. Hrcka Krausova, V. Vyklicky, E. Kudová, H. Chodounská, L. Vyklický, K. Valeš",10.3390/biom11071026,https://doi.org/10.3390/biom11071026,Biomolecules,4,2021,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for in vivo controlled experiments.",yes,"The study uses an animal model of schizophrenia induced by systemic application of MK-801, which is a valid method of inducing psychosis-like features, meeting the criterion for animal models of psychosis.",no,"The study investigates neuroactive steroids (MS-249 and PA-Glu) that act as NMDAR modulators, not TAAR1 agonists, which is a critical failure to meet the inclusion criteria.",maybe,"The study includes locomotor activity (one of the co-primary outcomes) but doesn't explicitly mention prepulse inhibition. It includes other behavioral measures like anxiety and cognition, which could be considered secondary outcomes.",yes,"The study appears to use appropriate control conditions, comparing treatments in the MK-801-induced model.",yes,This is clearly an original experimental study using animal models.,Exclude,"The study investigates neuroactive steroids in an animal model of schizophrenia, but critically fails to meet the screening criteria by not using TAAR1 agonists as the experimental intervention. While the research demonstrates a controlled experimental design with appropriate animal models and behavioral outcomes, the fundamental mismatch in intervention type necessitates exclusion from the review.",1.4
TPN672: A Novel Serotonin-Dopamine Receptor Modulator for the Treatment of Schizophrenia,"Yu Wang, Yang He, Feipu Yang, Melkamu Alemu Abame, Chunhui Wu, Yanmin Peng, Linyin Feng, Jingshan Shen, Zhen Wang, Ling He",10.1124/jpet.120.000414,https://doi.org/10.1124/jpet.120.000414,Journal of Pharmacology and Experimental Therapeutics,5,2021,yes,"The study includes in vivo controlled experiments in rodent models, comparing the test compound TPN672 to the antipsychotic drug aripiprazole and testing against phencyclidine-induced effects.",yes,"The study uses the ""phencyclidine-induced hyperactivity"" model of psychosis, which is an accepted NMDA antagonist model as mentioned in the criteria.",no,"TPN672 is described as acting primarily through serotonin and dopamine receptors (5-HT1AR, 5-HT2AR, D2R/D3R), and there is no mention of TAAR1 agonist activity, which is a critical requirement for inclusion.",maybe,"The study includes relevant primary outcomes, such as locomotor activity (phencyclidine-induced hyperactivity), but there is no mention of prepulse inhibition (PPI). It also includes several secondary outcomes (cognitive tests, sociability, adverse events).",maybe,"The abstract mentions comparisons to aripiprazole and implies vehicle controls, but since the experimental intervention doesn't meet criteria, the control interventions become moot.",yes,This is an original experimental study using animal models.,Exclude,"The study involves rodent models of psychosis with controlled experimental design and relevant behavioral outcomes, but critically fails to meet screening criteria due to the absence of TAAR1 agonist activity. While demonstrating robust antipsychotic efficacy through serotonin and dopamine receptor interactions, the experimental intervention does not align with the specific mechanistic requirements for inclusion.",1.4
Discovery of N-Substituted (2-Phenylcyclopropyl)methylamines as Functionally Selective Serotonin 2C Receptor Agonists for Potential Use as Antipsychotic Medications.,"Guiping Zhang, Jianjun Cheng, J. McCorvy, Paul J Lorello, B. Caldarone, B. Roth, A. Kozikowski",10.1021/acs.jmedchem.7b00584,https://doi.org/10.1021/acs.jmedchem.7b00584,Journal of Medicinal Chemistry,22,2017,yes,"The study includes in vivo controlled experiments using an amphetamine-induced hyperactivity model, which meets the criterion for in vivo controlled experiments.",yes,"The study uses an amphetamine-induced hyperactivity model, which is a recognized method for inducing psychosis-like features, meeting the criterion for animal models of psychosis.",no,"The study investigates novel 5-HT2C agonists, not TAAR1 agonists, which is a critical failure to meet the inclusion criteria, as the screening criteria specifically require TAAR1 agonists.",maybe,"The study includes locomotor activity (hyperactivity) as an outcome measure, which is one of the co-primary outcomes specified. However, it doesn't mention prepulse inhibition (PPI), the other required co-primary outcome.",maybe,"While the abstract mentions an ""amphetamine-induced hyperactivity model,"" it doesn't explicitly describe the control conditions used. However, this is less relevant given the failure to meet criterion 3.",yes,"This is an original experimental study using animal models, meeting this criterion.",Exclude,"The study investigates novel 5-HT2C agonists in an amphetamine-induced hyperactivity model, which fundamentally differs from the required TAAR1 agonist interventions. While the research includes some relevant experimental design elements, the primary intervention type disqualifies it from meeting the systematic review's screening criteria. Consequently, the paper would be excluded from further analysis.",1.4
Effects of (-)stepholidine in animal models for schizophrenia,"B. Ellenbroek, Xue-xiang Zhang, G. Jin",10.1111/j.1745-7254.2006.00365.x,https://doi.org/10.1111/j.1745-7254.2006.00365.x,Acta Pharmacologica Sinica,34,2006,yes,"The study includes in vivo controlled experiments, which meets the requirement for this criterion.",yes,"The study uses animal models of psychosis, specifically mentioning apomorphine and MK801-induced disruption of prepulse inhibition, which are established methods for inducing psychosis-like features.",no,"The study investigates (-)Stepholidine (SPD), which is described as a D1 and D2 antagonist. The screening criteria specifically require TAAR1 agonists, and SPD does not appear to be a TAAR1 agonist.",yes,The study includes one of the co-primary outcomes (PPI of the acoustic startle reflex) and appears to include behavioral measures.,yes,"The study includes appropriate control conditions, comparing SPD with vehicle (implied) and other antipsychotics (clozapine and haloperidol).",yes,This is clearly an original experimental study using animal models.,Exclude,"The study demonstrates strong experimental design with controlled animal models of psychosis, appropriate control interventions, and relevant behavioral outcomes. However, the critical intervention of (-)Stepholidine as a D1/D2 antagonist fundamentally conflicts with the requirement for TAAR1 agonists, rendering the study non-compliant with a key screening criterion. Despite meeting most other criteria, this core mismatch disqualifies the study from inclusion.",0.1
Phencyclidine-induced psychosis causes hypersynchronization and disruption of connectivity within prefrontal-hippocampal circuits that is rescued by antipsychotic drugs,"Cristina Delgado-Sallent, Pau Nebot, Thomas Gener, Melina Timplalexi, Amanda B Fath, M. Puig",10.1101/2021.02.03.429582,https://doi.org/10.1101/2021.02.03.429582,bioRxiv,1,2021,yes,"The study includes in vivo controlled experiments using mice, which meets the requirement for in vivo controlled experiments.",yes,"The study uses a valid animal model of psychosis induced by phencyclidine (NMDAR antagonist), which is explicitly mentioned as an acceptable method in the criteria.",no,"The study does not investigate TAAR1 agonists. Instead, it focuses on classical and atypical antipsychotics (haloperidol, clozapine, risperidone) and serotonin receptor modulators (M100907 and 8-OH-DPAT), which are not TAAR1 agonists as specified in the criteria.",no,"The study does not measure the specified co-primary outcomes (locomotor activity and PPI). Instead, it focuses on neural synchrony, functional connectivity, and circuit dynamics.",yes,"The study includes appropriate control conditions, comparing treated animals to vehicle controls and examining effects in the psychosis model.",yes,This is an original experimental study using animal models.,Exclude,"The study fails to meet key screening criteria by not investigating TAAR1 agonists and not measuring the specified co-primary outcomes of locomotor activity and prepulse inhibition. Despite using a valid animal model of psychosis and employing appropriate experimental controls, the fundamental mismatch with required intervention and outcome specifications necessitates exclusion from the systematic review.",1.4
New Paradigms of Old Psychedelics in Schizophrenia,"Danish Mahmood, S. Alenezi, M. Anwar, F. Azam, K. Qureshi, Mariusz Jaremko",10.3390/ph15050640,https://doi.org/10.3390/ph15050640,Pharmaceuticals,6,2022,no,"The abstract does not describe any specific in vivo controlled experiments. It appears to be a review/theoretical paper discussing the mechanisms and potential applications of psychedelics, rather than presenting an experimental study design.",no,"The abstract does not mention any animal models of psychosis. While it discusses psychiatric disorders and mechanisms, it focuses on human clinical applications and receptor mechanisms rather than animal models.",no,"The paper does not investigate TAAR1 agonists. It focuses on classical psychedelics (LSD, psilocybin, mescaline) and their interaction with 5-HT2A receptors, mGlu2/3, and NMDA receptors. TAAR1 is not mentioned at all.",no,"The abstract does not mention any of the primary outcomes (locomotor activity or prepulse inhibition) or secondary outcomes specified in the criteria. While it discusses general mechanisms and therapeutic potential, it doesn't present specific behavioral or neurobiological measurements.",no,"No control groups or experimental conditions are described in the abstract, as this appears to be a review rather than an experimental study.",no,"This appears to be a review or theoretical paper examining the mechanisms and potential applications of psychedelics, not an original experimental study. This is evident from phrases like ""Emerging hypotheses"" and the broad overview nature of the content.",Exclude,"The abstract represents a comprehensive review of psychedelic mechanisms and potential therapeutic applications, focusing on neurobiological interactions and clinical potential rather than an experimental animal study. It does not meet the specified screening criteria, which require an original experimental study using animal models of psychosis, specifically investigating TAAR1 agonists with defined behavioral and neurobiological outcomes. The paper's theoretical and mechanistic approach fundamentally differs from the required experimental research design.",0.1
Adolescent Synthetic Cannabinoid Exposure Produces Enduring Changes in Dopamine Neuron Activity in a Rodent Model of Schizophrenia Susceptibility,"David D. Aguilar, A. Giuffrida, D. Lodge",10.1093/ijnp/pyy003,https://doi.org/10.1093/ijnp/pyy003,International Journal of Neuropsychopharmacology,26,2018,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for controlled experiments.",yes,"The study uses a rodent model of schizophrenia susceptibility (F2 methylazoxymethanol acetate rat), which appears to be an induced model of psychosis-like features, meeting this criterion.",no,"The study investigates synthetic cannabinoids (WIN55,212-2) and endocannabinoid upregulation (URB597), not TAAR1 agonists, which is a critical failure to meet the inclusion criteria.",maybe,"The study measures dopamine neuron activity and amphetamine sensitivity, which are related to psychosis but don't exactly match the required co-primary outcomes (locomotor activity and PPI). This partially meets the criterion but with significant uncertainty.",yes,"The study appears to include appropriate control groups, with control rats used for comparison.",yes,"This is clearly an original experimental study using animal models, meeting this criterion.",Exclude,"The study investigates synthetic cannabinoids in a rodent model of schizophrenia susceptibility, which fundamentally differs from the required TAAR1 agonist interventions. While the research demonstrates a controlled experimental design with appropriate animal models, the critical failure to meet the intervention type criterion renders the study non-compliant with the screening requirements. The experimental approach, though scientifically rigorous, does not align with the specific pharmacological intervention specified in the screening criteria.",1.4
Next-generation antipsychotics- Trends and perspectives beyond dopaminergic and glutamatergic agents,"O. Vasiliu, A. Mangalagiu, B. Petrescu, C. Cândea, C. Tudor, D. Ungureanu, M. Micloș, C. Florescu, A. Drăghici, R. E. Bratu-Bizic, M. Dobre, A. F. Făinărea, M. Pătraşcu",10.1192/j.eurpsy.2023.1177,https://doi.org/10.1192/j.eurpsy.2023.1177,European psychiatry,0,2023,no,"The study described in the abstract is a literature review, not an in vivo controlled experiment as required by the first criterion. Elicit notes that this clearly fails to meet the first criterion.",no,"The abstract does not discuss any animal models or experiments. It focuses on clinical trials and human applications, rather than the required animal models of psychosis. Elicit states that this fails to meet the second criterion.",maybe,"While the abstract mentions SEP-363856 as a TAAR-1 agonist, which is relevant to the intervention of interest, it discusses this in the context of human clinical trials rather than animal studies. Elicit notes that this partially meets the intervention criterion but in the wrong context.",no,The abstract does not discuss any of the required primary outcomes (locomotor activity or prepulse inhibition) or secondary outcomes in animal models. It focuses on clinical outcomes in humans.,no,"No control interventions are discussed in the context required by the criteria (animal cohorts with psychosis models). The abstract focuses on clinical trials in humans, rather than the required animal model control groups.",no,"This paper is explicitly a literature review, not an original experimental study. Elicit notes that this fails to meet the final criterion.",Exclude,"This literature review of antipsychotics fails to meet the screening criteria for an animal model study, as it exclusively focuses on human clinical trials without any experimental animal research. The abstract lacks the required elements of in vivo controlled experiments, animal psychosis models, and primary/secondary outcomes specific to animal studies. Consequently, the paper does not align with the predetermined screening requirements for inclusion.",0.1
Dopaminergic mechanisms underlying psychosis,M. Bloomfield,10.1093/med/9780190653279.003.0031,https://doi.org/10.1093/med/9780190653279.003.0031,-,4,2014,no,"The abstract does not describe any in vivo controlled experiments, indicating that this is a theoretical/review paper discussing the dopamine hypothesis of psychosis rather than an experimental study.",no,The abstract mentions human studies (molecular imaging studies in people with schizophrenia and their relatives) but does not describe any animal models of psychosis or methods of psychosis induction in laboratory animals.,no,"There is no mention of TAAR1 agonists or any specific experimental interventions, as the discussion of dopamine is in a theoretical context rather than as an experimental intervention.",no,"While dopamine function and its relationship to psychosis are discussed, the specific primary outcomes (locomotor activity and PPI) are not measured, and none of the secondary outcomes are addressed.",no,"No control groups are described, as this is not an experimental study.",no,"This is clearly a review/theoretical paper discussing the dopamine hypothesis of psychosis and various lines of evidence supporting it, rather than an original experimental study using animal models.",Exclude,"The manuscript is a theoretical review exploring the dopamine hypothesis of psychosis, presenting evidence from molecular imaging and neurobiological perspectives. It lacks experimental design, animal models, specific interventions, control groups, and predefined outcomes required by the screening criteria. Consequently, the paper does not meet the systematic review's methodological requirements for inclusion.",0.1
A challenge to the dopamine orthodoxy in schizophrenia?,"T. Norman, J. Olver",10.1177/00048674231177958,https://doi.org/10.1177/00048674231177958,Australian and New Zealand journal of psychiatry (Print),3,2023,no,"The paper is primarily a commentary/review piece about the dopamine hypothesis and new treatment approaches, rather than an experimental study. It references experimental studies but does not conduct any original experiments itself.",maybe,"While the paper mentions ""mouse phenotypes"" and PCP-induced behaviors (which are relevant psychosis models), these are only referenced in the context of discussing other studies, not as part of the paper's own experimental research.",maybe,"The paper discusses ulotaront (SEP-363856), a TAAR1 agonist, which would meet the intervention criteria. However, this is discussed in a review context rather than as part of original research.",maybe,"The paper mentions relevant outcomes like PCP-induced hyperactivity and pre-pulse inhibition, but these are discussed as findings from other studies rather than original research.",no,"The paper mentions placebo-controlled trials, but these are in the context of human clinical trials, not animal studies with appropriate control conditions as specified in the criteria.",no,This is clearly not an original experimental study but rather a theoretical/review paper discussing the potential paradigm shift in schizophrenia treatment. The title and content suggest it's a commentary or perspective piece.,Exclude,"The manuscript is a theoretical review discussing the dopamine hypothesis of schizophrenia and potential paradigm shifts in treatment, failing to meet the primary requirement of being an original experimental animal study. Despite referencing relevant experimental concepts like TAAR1 agonists and psychosis models, the paper lacks direct experimental evidence and instead provides a scholarly commentary on existing research. Consequently, the work does not satisfy the fundamental screening criteria for inclusion in the systematic review.",0.1
Activation of trace amine-associated receptor 1 (TAAR1) transiently reduces alcohol drinking in socially housed mice,"B. Frycz, K. Nowicka, A. Konopka, M. Hoener, E. Bulska, L. Kaczmarek, M. Stefaniuk",10.1111/adb.13285,https://doi.org/10.1111/adb.13285,bioRxiv,7,2022,yes,"The study includes in vivo controlled experiments comparing RO5256390 (TAAR1 agonist) with vehicle in mice, which meets the requirement for in vivo controlled experiments.",no,"The study uses C57Bl/6J female mice, but does not use an animal model of psychosis. The mice are studied for alcohol consumption behaviors, not psychosis-like features, which fails to meet the requirement for animal models of psychosis.",yes,"The study does investigate a TAAR1 agonist (RO5256390), which meets the requirement for investigating compounds/medications acting as TAAR1 agonists. However, the intervention is being studied for alcohol dependence, not psychosis.",no,"The study measures alcohol consumption and preference behaviors, not the required co-primary outcomes of locomotor activity and PPI, which fails to meet the requirement for the specified primary outcomes.",maybe,"The study uses vehicle controls, which would technically meet the control intervention criterion. However, this is in the context of alcohol dependence, not psychosis models.",yes,"This is an original experimental study using animal models, meeting the requirement for primary research type.",Exclude,"The study investigates TAAR1 agonism in mice for alcohol dependence, which fundamentally diverges from the required psychosis model and behavioral outcomes. Critical screening criteria related to animal model induction, primary outcomes, and disease focus are not met, rendering the research non-compliant with the specified screening requirements. Despite being a controlled animal experiment, the study's focus on alcohol consumption rather than psychosis disqualifies it from meeting the essential screening criteria.",1.4
Positive Allosteric Modulation of GABAB Receptors Ameliorates Sensorimotor Gating in Rodent Models,"R. Frau, V. Bini, G. Pillolla, P. Malherbe, A. Pardu, A. Thomas, P. Devoto, M. Bortolato",10.1111/cns.12261,https://doi.org/10.1111/cns.12261,CNS Neuroscience & Therapeutics,16,2014,yes,"The study appears to be an in vivo controlled experiment, as it mentions ""rodent models"" and behavioral measurements, suggesting it meets the criteria for controlled experiments.",maybe,"The abstract mentions ""pharmacologically induced PPI deficits,"" suggesting some form of psychosis-like feature induction in the animal models. However, the specific method of psychosis induction is not clearly stated, creating some uncertainty.",no,"The study investigates rac-BHFF, a GABABR-positive allosteric modulator (PAM), not a TAAR1 agonist, which is a critical failure point as it does not meet the intervention criteria.",maybe,"The study does examine one of the co-primary outcomes (PPI of acoustic startle reflex), but locomotor activity is not mentioned, suggesting it only partially meets this criterion.",maybe,"While the abstract implies the presence of control conditions (mentioning ""counter spontaneous and pharmacologically induced PPI deficits""), the specific control conditions are not detailed. However, this is less relevant given the intervention failure.",yes,"This appears to be an original experimental study using animal models, meeting this criterion.",Exclude,"The study investigates a GABABR modulator in rodent models, examining prepulse inhibition, but critically fails to meet the screening criteria by not using TAAR1 agonists as the experimental intervention. Despite exploring relevant behavioral outcomes in animal models, the primary intervention does not align with the specified research parameters, rendering the study non-compliant with the established screening requirements.",0.1
"Biochemical, Histopathological and Morphological Profiling of a Rat Model of Early Immune Stimulation: Relation to Psychopathology","A. Kubešová, H. Tejkalová, K. Syslová, P. Kacer, Jana Vondroušová, F. Tylš, M. Fujáková, T. Páleníček, J. Horáček",10.1371/journal.pone.0115439,https://doi.org/10.1371/journal.pone.0115439,PLoS ONE,29,2015,yes,"The study includes in vivo controlled experiments using rats, which meets the criterion for study design. However, it is not clear if the study includes proper control groups as specified in criterion 4.",maybe,"The study uses rats with perinatal immune challenge induced by lipopolysaccharide administration, which is an animal model. However, this model is not specifically a model of psychosis as defined in the criteria, as it appears to be an immune challenge model rather than a direct psychosis model.",no,"The study does not investigate TAAR1 agonists or any other specified interventions. The only intervention mentioned is lipopolysaccharide administration, which is used to induce immune challenge, not as a TAAR1 agonist.",no,"The study measures biochemical, histopathological, and morphological measures, but does not specifically measure the required co-primary outcomes (locomotor activity and PPI). The outcomes measured are different from those specified in the criteria.",maybe,"While the study likely includes controls, the abstract does not explicitly describe the control groups. More importantly, the controls do not appear to match the specific control conditions required by the criteria (vehicle controls or current antipsychotics).",yes,"This is an original experimental study using animal models, which meets this criterion.",Exclude,"The study fails to meet key screening criteria, particularly regarding TAAR1 agonist interventions, psychosis-specific animal models, and required co-primary behavioral outcomes. While an original experimental study using rats, the research focuses on immune challenge and neurobiological measures that do not align with the systematic review's specific requirements. Consequently, the paper does not qualify for inclusion based on the predefined screening criteria.",1.4
Nongenetic Factors Associated With Psychotic Experiences Among UK Biobank Participants: Exposome-Wide Analysis and Mendelian Randomization Analysis.,"Bochao D. Lin, L. Pries, Halil Saraç, J. van os, B. Rutten, J. Luykx, S. Guloksuz",10.1001/jamapsychiatry.2022.1655,https://doi.org/10.1001/jamapsychiatry.2022.1655,JAMA psychiatry,29,2022,no,"The study is a cohort study using human subjects (UK Biobank Mental Health Survey), not in vivo controlled experiments with animals. This fails the criterion for in vivo controlled experiments.",no,"The study does not use any animal models of psychosis. It focuses entirely on human participants (155,247 participants) and their psychotic experiences. This fails the criterion for animal models of psychosis.",no,"The study does not investigate TAAR1 agonists or any pharmacological interventions. Instead, it examines environmental, lifestyle, behavioral, and economic variables (247 variables) associated with psychotic experiences. This fails the criterion for experimental interventions.",no,"While the study examines psychotic experiences, it does not measure the specific co-primary outcomes required (locomotor activity and PPI). The outcomes are focused on human experiences and genetic associations rather than the behavioral measures specified in the criteria.",no,The study does not include any control groups as defined in the criteria (vehicle controls or current antipsychotics). The study design uses statistical controls and multivariable analyses rather than experimental control groups.,no,"While this is original research, it is not an experimental study using animal models. It is a human cohort study using observational data.",Exclude,"This human cohort study fundamentally differs from the required experimental animal research design, failing critical screening criteria related to study type, population, interventions, and outcomes. The research examines psychotic experiences in human participants using observational data, which does not align with the specified requirements for animal models, TAAR1 agonist interventions, and specific behavioral outcome measures. Consequently, the study does not meet the essential screening criteria for inclusion.",0.1
T219. THE ROLE OF MELATONIN AND MELATONIN AGONISTS IN COUNTERACTING ANTIPSYCHOTIC-INDUCED METABOLIC SIDE EFFECTS: A SYSTEMATIC REVIEW,"W. Bahk, Y. Kwon, B. Yoon, Sang-Yeol Lee, Kwanghun Lee, D. Jon, Moon-Doo Kim, E. Lim",10.1093/schbul/sby016.495,https://doi.org/10.1093/schbul/sby016.495,Schizophrenia bulletin,1,2018,no,"The study is a systematic review of randomized controlled trials, not original in vivo controlled experiments. This does not meet the criterion for including in vivo controlled experiments.",no,"The study focuses on human psychiatric patients (bipolar disorder and schizophrenic patients), not animal models of psychosis. This does not meet the criterion for research conducted using animal models of psychosis.",no,"The study investigates melatonin and its agonists (ramelteon), which are not TAAR1 agonists. The interventions are focused on metabolic effects rather than psychosis treatment, and do not meet the criterion for investigating compounds/medications acting as TAAR1 agonists.",no,"The outcomes measured (blood pressure, lipid profiles, body composition, weight gain) are not the specified co-primary outcomes (locomotor activity and PPI). This does not meet the criterion for including the specified co-primary outcomes.",no,"The study uses placebo controls in human trials, not the specified animal model control conditions. This does not meet the criterion for control groups consisting of animal cohorts subjected to a psychosis model and receiving vehicle or current antipsychotics.",no,"The study is explicitly a systematic review, not an original experimental study using animal models. This does not meet the criterion for being an original experimental study using animal models.",Exclude,"The systematic review focuses on human clinical trials investigating melatonin's metabolic effects in psychiatric patients, which fundamentally differs from the required animal model studies of TAAR1 agonists in psychosis. All six screening criteria are unambiguously not met, as the research involves human subjects, metabolic outcomes, and a review methodology rather than the specified experimental animal model approach.",0.1
Pharmacologic and genetic evidence converge on mechanisms of psychotic illness,"B. Fennessy, L. Cotter, N. W. Simons, L. E. Liharska, G. N. Nadkarni, D. Ruderfer, A. Charney",10.1101/2024.04.30.24306623,https://doi.org/10.1101/2024.04.30.24306623,medRxiv,0,2024,no,"The paper does not describe any in vivo controlled experiments. It is primarily a data analysis study combining pharmacological, genetic, and clinical data. The research appears to be computational/analytical rather than experimental.",no,"The abstract does not mention any animal models or psychosis induction methods. The study focuses on human genetic data, medication side effects reports, and clinical cases.",no,"While the study discusses psychotic illness and antipsychotics, it does not specifically investigate TAAR1 agonists or their administration. The focus is on analyzing existing medication data and genetic variations.",no,The outcomes discussed in the abstract do not align with the required behavioral measures (locomotor activity and PPI). The study looks at different types of outcomes related to genetic variations and medication effects.,no,The study does not include animal cohorts or the specified control conditions. The comparisons made are between different types of medications and genetic variations in human populations.,no,"While this is original research, it is not an experimental study using animal models. It is a data analysis study combining multiple data sources including pharmacological, genetic, and clinical data.",Exclude,"The research paper fundamentally diverges from the systematic review's screening criteria, which require experimental animal studies of TAAR1 agonists with specific behavioral outcomes. This computational study analyzing human genetic and pharmacological data lacks the requisite in vivo controlled experiments, animal models, specific interventions, control conditions, and predefined behavioral outcomes. Consequently, the manuscript does not align with any of the established screening requirements.",0.1
Antipsychotic Drugs: The Antithesis to Neurorehabilitation in Models of Pre-Clinical Traumatic Brain Injury,"Nicholas Race, Eleni H. Moschonas, Jeffrey P. Cheng, C. Bondi, A. Kline",10.1089/neur.2023.0082,https://doi.org/10.1089/neur.2023.0082,Neurotrauma Reports,0,2023,no,"The paper is a review paper, not an original experimental study with in vivo controlled experiments. The abstract explicitly states that the aim is to ""integrate the existing findings"", indicating it is a review rather than an original study.",no,"The paper discusses animal models, but they are specifically TBI (traumatic brain injury) models, not psychosis models as required by the criteria. The abstract focuses on TBI-induced behavioral changes rather than psychosis-like features.",no,"The paper discusses antipsychotic drugs (APDs) in general, particularly those with D2 receptor antagonism, but does not specifically investigate TAAR1 agonists.",no,"The outcomes discussed in the abstract (agitation, aggression, recovery process) don't match the required co-primary outcomes of locomotor activity and PPI. While behavioral measures are included, they're not the specific ones required.",no,"While the paper likely includes controlled experiments, the control conditions described in the abstract don't specifically match the required control interventions for TAAR1 agonist studies.",no,"This is explicitly a review paper, not an original experimental study.",Exclude,"This review paper on traumatic brain injury fails to meet multiple critical screening criteria, including the requirement for original experimental research, psychosis animal models, TAAR1 agonist interventions, and specific behavioral outcome measures. The study's focus on antipsychotic drugs in TBI models fundamentally differs from the systematic review's targeted research parameters, rendering it ineligible for inclusion.",0.1
Neonatal Disruption of Serine Racemase Causes Schizophrenia-Like Behavioral Abnormalities in Adulthood: Clinical Rescue by D-Serine,"H. Hagiwara, M. Iyo, K. Hashimoto",10.1371/journal.pone.0062438,https://doi.org/10.1371/journal.pone.0062438,PLoS ONE,30,2013,yes,"The study includes in vivo controlled experiments with clear experimental and control groups, which meets the requirement for this criterion.",maybe,"The study uses mice with induced psychosis-like features through neonatal disruption of D-serine synthesis, which is a developmental model rather than a traditional psychostimulant/NMDA antagonist model. While this is a different induction method, it does induce psychosis-like features, so this criterion is partially met, though there is some uncertainty about whether this specific induction method falls within the intended scope.",no,"The study does not investigate TAAR1 agonists. Instead, it focuses on D-serine and its effects on NMDA receptor function, which is a critical failure to meet the inclusion criteria.",yes,"The study includes both primary outcomes specified in the criteria: locomotor activity (spontaneous locomotion) and PPI (prepulse inhibition), which meets the requirements for this criterion.",yes,"The study includes appropriate control groups with vehicle administration and examines effects against baseline conditions, which meets the requirements for this criterion.",yes,"This is an original experimental study using animal models, which meets the requirements for this criterion.",Exclude,"The study meets most screening criteria, including appropriate study design, animal model, control interventions, and outcome measures. However, it critically fails to investigate TAAR1 agonists, which is a fundamental requirement for inclusion. This single criterion failure disqualifies the paper from the systematic review, despite its strong performance across other screening parameters.",1.4
